Task Name,Parent Task,Priority,Tags,Time Estimate,Status,Description
0.6 Зафіксувати аналітичну базу,[Етап 0] Стабілізація і базова лінія,Urgent,analytics,3h,to do,"Точка відкату перед будь-якими змінами тегів. ДІЇ: експорт версії GTM-контейнера (GTM-KG5B3NH) • інвентаризація тегів/тригерів/ініціаторів: GA4, Ads, Meta ×3, TikTok, Clarity, Spotify, чат, попапи, CAPI helper • підтвердити наявність/відсутність Hotjar • зняти поточні donation conversions і checkout error rate. ACCEPTANCE: будь-яку зміну тегів можна відкотити й порівняти з базою. БЛОКУЄ: 1.5, 1.6, 1.7."
0.7 Вимірювальна база (Lighthouse CI + RUM),[Етап 0] Стабілізація і базова лінія,Urgent,qa,4h,to do,"ДІЇ: Lighthouse у CI — 3 mobile-прогони, медіана • RUM через web-vitals (LCP/INP/CLS → sendBeacon; код у розд. 8 PDF) • кастомні маркери: hero_visible, donate_click, checkout_form_visible, payment_submit, payment_success, payment_error. ACCEPTANCE: метрики збираються до початку Етапу 1. БЛОКУЄ: 1.8."
1.1 Статичний hero (зупинити автослайдер),[Етап 1] Критичний шлях головної сторінки,Urgent,frontend,4h,to do,"Автослайдер робить кожен наступний слайд новим LCP-кандидатом → LCP 47–53 с. ДІЇ: один слайд до першої взаємодії, без автопрокрутки при завантаженні • інші слайди без реального src (data-src) • довантаження після взаємодії або в idle. ACCEPTANCE: LCP-кандидат не змінюється після першого рендера, лаб. LCP стабільний між прогонами."
1.2 Оптимізація LCP-ресурсу,[Етап 1] Критичний шлях головної сторінки,Urgent,frontend,4h,to do,"ДІЇ: width/height, fetchpriority=high, loading=eager, decoding=async на LCP-зображенні • умовний preload mobile/desktop через media-query (розд. 6.1 PDF) • зняти fetchpriority=high із зображень нижче фолда • один семантичний h1, заголовки неактивних слайдів — h2 або поза accessibility tree. ACCEPTANCE: preload збігається з фактичним LCP-елементом у трейсі. ЗАЛЕЖИТЬ ВІД: 1.1."
"1.3 Зображення, перший прохід",[Етап 1] Критичний шлях головної сторінки,Urgent,frontend,1d,to do,"Зображення 12–17 МБ; 58 PNG не конвертовані попри Smush. ДІЇ: пережати топ-20 найважчих (slider-winter-camp-1920.webp 1,9 МБ; slider-winter-camp768 0,8 МБ; 1920-psycho 0,8 МБ; повний список — розд. 4.1 PDF) • конвертувати 58 PNG → WebP/AVIF, з'ясувати чому Smush не відпрацював • усунути дубль valentines-day/1.png (?v=2.2 і ?v=4.2) • srcset/sizes і реальні мобільні розміри (слот 100×67 → ~200×134 для DPR 2) • width/height для всіх unsized img. ACCEPTANCE: сторінка 15–18 МБ → ~4–5 МБ."
1.4 Asset allowlist у WordPress (dequeue + defer),[Етап 1] Критичний шлях головної сторінки,Urgent,wp-backend,1d,to do,"~100 script-тегів, 53 синхронні; unused JS до 1,2 МБ. ДІЇ: інвентаризація всіх wp_enqueue_* • умовний dequeue на головній: CF7, WooCommerce (cart/blocks/order-attribution/sourcebuster), filter-for-elementor, cabinet autologin, WayForPay, сезонні gamification-бандли • Fancybox/Lottie замінити нативним CSS за можливості • лишити ОДИН слайдер (Slick або Swiper) • прибрати jQuery Migrate після перевірки • defer через нативний Script strategy API WP≥6.3, не regex (розд. 6.2 PDF) • регрес-тести після кожного dequeue: навігація, donate-кнопки, слайдер, перемикач мов, попапи, checkout. УВАГА: /en/ важча за JS ніж UA-версія (2,6 МБ vs 1,5 МБ) — перевіряти обидві локалі. ACCEPTANCE: синхронних зовнішніх скриптів ≈ 0 у критичному шляху, регрес-тести пройдені."
1.5 Відкласти маркетинговий стек,[Етап 1] Критичний шлях головної сторінки,Urgent,analytics,1d,to do,"ДІЇ: у head — лише мінімальний GTM bootstrap (або first-party loader) • Meta, TikTok, Clarity, Spotify, live chat, попапи — після consent / першої взаємодії / requestIdleCallback з таймаутом 5–8 с • Clarity sampling 5–10% • Google Consent Mode v2 (analytics_storage/ad_storage/ad_user_data/ad_personalization) • збір gclid/fbclid/UTM — маленьким first-party кодом одразу. ACCEPTANCE: third-party main-thread до взаємодії ≤ 200 мс, атрибуція не втрачається. ЗАЛЕЖИТЬ ВІД: 0.6."
1.6 Дедуплікація Meta Pixel,[Етап 1] Критичний шлях головної сторінки,Urgent,analytics,4h,to do,"Три Pixel ID з повторними PageView; capiParamBuilder завантажений двічі. ДІЇ: один browser PageView на кожен Pixel ID • один базовий fbevents.js-loader • один capiParamBuilder (знайти два ініціатори, лишити один) • client/server дедуплікація через стабільний event_id • перевірити задвоєння ініціатора між темою і GTM. ACCEPTANCE: GTM Preview + Meta Pixel Helper + Events Manager — по одній події, конверсії не подвоюються. ЗАЛЕЖИТЬ ВІД: 0.6."
1.7 GA4 / Google Ads,[Етап 1] Критичний шлях головної сторінки,Urgent,analytics,4h,to do,"ДІЇ: один GA4 PageView (зараз GTM + GA4 + окремий gtag/js) • Ads-конверсія лише після реально успішної пожертви • Fundraise Up callback не дублює конверсію через тему і GTM • cross-domain linker для donorsupport.co, gclid не втрачається на hosted checkout • enhanced-conversion бібліотеки — лише за потреби. ACCEPTANCE: DebugView/Realtime — одна подія, наскрізна атрибуція на checkout-домені працює. ЗАЛЕЖИТЬ ВІД: 0.6."
1.8 Fundraise Up за наміром,[Етап 1] Критичний шлях головної сторінки,Urgent,frontend,1d,to do,"Checkout-бандли ~625 КБ (з них ~550 КБ unused) вантажаться всім до кліку Donate. ДІЇ: легка shell-кнопка Donate • preconnect до платіжних origin лише де CTA видимий (розд. 6.3 PDF, ≤4 глобальні preconnect) • ініціалізація чек-ауту на pointerenter/touchstart/focus CTA або в idle після LCP • повний checkout — тільки при намірі/кліку • звичайний a href на hosted checkout — постійний fallback • chat/попапи/Clarity не блокують відкриття форми. ACCEPTANCE: donate_click → form_visible ≤ 300 мс warm / ≤ 800 мс cold; payment error rate і conversion tracking без регресій. ЗАЛЕЖИТЬ ВІД: 0.7."
2.1 Чистка БД,"[Етап 2] Origin, БД, кеш",High,wp-backend,4h,to do,"БД 3,6 ГБ: _elementor_data 1,96 ГБ у postmeta; 30 878 ревізій (~1 ГБ); ch_redirection_logs 104 МБ; логи WSAL 18 МБ. ДІЇ: ПОВНИЙ ДАМП перед стартом • видалити ревізії (WP-CLI, батчами, поза піком) • define('WP_POST_REVISIONS', 5) у wp-config.php • обрізати redirection_logs і WSAL, виставити retention. ACCEPTANCE: БД 3,6 ГБ → ~600 МБ, +≈3 ГБ диска, швидші бекапи та адмінка. ЗАЛЕЖИТЬ ВІД: 0.3. ЗАБОРОНЕНО: масова чистка ревізій без повного дампа."
2.2 Апгрейд PHP 8.0 → 8.4,"[Етап 2] Origin, БД, кеш",High,devops,1d,to do,"PHP 8.0 EOL з 11.2023 (2,5+ роки без security-патчів). Ціль 8.4 (підтримка до 31.12.2028), мінімум 8.3. ДІЇ: staging-перевірка сумісності теми і 43 плагінів • апгрейд на проді. ACCEPTANCE: ~10–15% швидший рендер, повернення security-патчів. ЗАЛЕЖИТЬ ВІД: 0.3."
2.3 Ревізія 43 плагінів,"[Етап 2] Origin, БД, кеш",High,wp-backend,1d,to do,"ДІЇ: окреме рішення по WooCommerce (+multilingual) — якщо магазин/кошик не використовується, повна деактивація; СПЕРШУ бізнес-підтвердження + перевірка шорткодів/віджетів на всіх локалях • решта плагінів — за результатами інвентаризації. ACCEPTANCE: обґрунтований список активних плагінів, некешований TTFB знижується. ЗАЛЕЖИТЬ ВІД: бізнес-підтвердження щодо WooCommerce."
2.4 Edge-кеш анонімного HTML (Cloudflare),"[Етап 2] Origin, БД, кеш",High,devops,4h,to do,"HTML не кешується на edge (замір 04.08: cf-cache-status DYNAMIC, max-age=3). ДІЇ: Cloudflare cache для анонімних GET/HEAD — TTL 60–300 с + purge при publish/update • bypass для logged-in, cart, checkout, персоналізованих cookies • Brotli для HTML/CSS/JS • Early Hints лише після чистки resource hints • WP Super Cache лишається origin-кешем. ACCEPTANCE: стабільний TTFB на edge, персоналізовані сторінки не кешуються публічно."
3.1 Critical CSS,[Етап 3] Вихід у зелену зону,High,frontend,2d,to do,"~40–42 render-blocking ресурсів (економія ~640–1220 мс), unused CSS 116 КБ. ДІЇ: інлайн критичного CSS для header + hero + першого CTA, решта асинхронно • посторінковий enqueue стилів за template/наявністю блоку • видалити стилі неактивних сезонних плагінів • мініфікація. УВАГА: Combine all CSS — не рішення, спершу не відправляти зайве. ACCEPTANCE: render-blocking ≈ 0 у трейсі, unused CSS < 30 КБ."
3.2 Шрифти,[Етап 3] Вихід у зелену зону,High,frontend,4h,to do,"Montserrat 100–900 (italic+normal) + Roboto + Roboto Slab. ДІЇ: лишити фактично використані ваги (напр. 400/500/600/700) • прибрати Roboto Slab, якщо не використовується • self-host WOFF2 subset latin+cyrillic • preload лише одного критичного шрифту • font-display: swap • метрично сумісний системний fallback. ACCEPTANCE: ≤ 4–5 фонт-файлів, без FOIT і без CLS від підміни."
3.3 admin-ajax поза критичним шляхом,[Етап 3] Вихід у зелену зону,High,wp-backend,4h,to do,"Critical chain: HTML → share-віджет → admin-ajax.php?action=get_api_key (до 2,24 с). ДІЇ: share-віджет не вантажити на головній (або on-demand) • несекретний конфіг у HTML/локальному JS, секрети браузеру не видавати • endpoint у кешований REST замість admin-ajax. ACCEPTANCE: get_api_key відсутній у critical request chain."
3.4 HTML/DOM,[Етап 3] Вихід у зелену зону,High,wp-backend,1d,to do,"HTML ~298 КБ, 1220 елементів, глибина 15, 31 inline style. ДІЇ: прибрати server-side дубль партнерських логотипів (клонування DOM після load або CSS marquee) • content-visibility: auto для великих секцій нижче фолда • popup-розмітка — рендер перед відкриттям • прибрати неактивну сезонну розмітку • скоротити inline-стилі. ACCEPTANCE: HTML ~298 → ≤ 150 КБ."
3.5 Модульний JS теми,[Етап 3] Вихід у зелену зону,High,frontend,2d,to do,"ДІЇ: розбити монолітний main.js за сторінками/функціями • усунути довгі задачі > 50 мс розбиттям на частини. ACCEPTANCE: жодної задачі > 200 мс, мінімум задач > 50 мс."
3.6 Server-side tagging,[Етап 3] Вихід у зелену зону,High,analytics,3d,to do,"ДІЇ: перенести частину conversion tracking у server-side GTM/CAPI • зберегти дедуплікацію через event_id. КОМПРОМІС: додаткова інфраструктура й підтримка ↔ розвантаження клієнта і стійкіша атрибуція. ACCEPTANCE: кількість конверсій збігається з базою Етапу 0, без дублів. ЗАЛЕЖИТЬ ВІД: 1.6, 1.7."
"3.7 Зображення, другий прохід",[Етап 3] Вихід у зелену зону,Normal,frontend,1d,to do,"ДІЇ: programs-*.png (~2,9 МБ), партнерські та child-story картки • фони нижче фолда через IntersectionObserver • AVIF-конвеєр / автогенерація розмірів (закриває борг hero ≤ 80 КБ). ACCEPTANCE: виконання бюджетів розд. 7 PDF. ЗАЛЕЖИТЬ ВІД: 1.3."
3.8 Code splitting Fundraise Up,[Етап 3] Вихід у зелену зону,Normal,frontend,4h,to do,"ДІЇ: ледаче підвантаження інтеграції штатними засобами SDK, без модифікації vendor-бандлів. ACCEPTANCE: чек-аут повністю поза initial path. ЗАЛЕЖИТЬ ВІД: 1.8."
4.1 Lighthouse CI на кожен реліз,[Етап 4] Контроль якості (постійний процес),High,qa,,to do,"RECURRING (per release). 3 mobile-прогони, оцінка за медіаною; budget-асерти (конфіг — розд. 6.5 PDF). ACCEPTANCE: реліз блокується при порушенні бюджету."
4.2 RUM і польові дані,[Етап 4] Контроль якості (постійний процес),High,qa,,to do,RECURRING (weekly). p75 за країнами/пристроями; Search Console CWV (28-денне вікно); Google Ads Landing Pages report. ACCEPTANCE: p75 LCP/INP/CLS у зеленій зоні.
4.3 Воронка пожертв,[Етап 4] Контроль якості (постійний процес),High,qa,,to do,RECURRING (weekly). donate_click → form_visible → payment_submit → success/error; латентність чек-ауту. ACCEPTANCE: конверсія та error rate без регресій.
4.4 Tag governance,[Етап 4] Контроль якості (постійний процес),Normal,analytics,,to do,"RECURRING (monthly). Перегляд тегів: власник, тригер, вага; бюджет на third-party. ACCEPTANCE: немає неузгоджених додавань тегів."
4.5 Інфра-моніторинг,[Етап 4] Контроль якості (постійний процес),Normal,devops,,to do,"RECURRING. Алерти: диск ≥ 85%, аномальне зростання БД, статус підтримки гілки PHP. ACCEPTANCE: реакція до настання інциденту."
