Task ID,Task Name,Subtask IDs,Status,Priority,Tags,Task Type,Time Estimate,Description,Checklist
23,[Етап 3] Вихід у зелену зону,24|25|26|27|28|29|30|31,to do,2,milestone,Milestone,80:00,"Critical CSS, шрифти, DOM, модульний JS, server-side tagging, другий прохід зображень. Тривалість: 1-2 тижні. Залежить від Етапів 1-2. Ціль: mobile Lighthouse не менше 90 за медіаною 3 прогонів.",
24,3.1 Critical CSS,,to do,2,frontend,Task,16:00,"40-42 render-blocking ресурси (потенційна економія 640-1220 мс), unused CSS 116 КБ. УВАГА: Combine all CSS — не рішення, спершу не відправляти зайве. ACCEPTANCE: render-blocking близько 0 у трейсі, unused CSS менше 30 КБ.","Інлайн критичного CSS для header + hero + першого CTA, решта асинхронно|Посторінковий enqueue стилів за template або наявністю блоку|Видалити стилі неактивних сезонних плагінів|Мініфікація"
25,3.2 Шрифти,,to do,2,frontend,Task,4:00,"Montserrat вагами 100-900 (italic + normal) плюс Roboto і Roboto Slab. ACCEPTANCE: не більше 4-5 фонт-файлів, без FOIT і без CLS від підміни.","Лишити фактично використані ваги (напр. 400/500/600/700)|Прибрати Roboto Slab, якщо не використовується|Self-host WOFF2 із subset latin + cyrillic|Preload лише одного критичного шрифту, font-display: swap|Метрично сумісний системний fallback"
26,3.3 admin-ajax поза критичним шляхом,,to do,2,wp-backend,Task,4:00,"Critical chain: HTML -> share-віджет -> admin-ajax.php?action=get_api_key з відповіддю до 2,24 с. ACCEPTANCE: get_api_key відсутній у critical request chain.","Share-віджет не вантажити на головній або лише on-demand при взаємодії|Несекретний конфіг у HTML/локальному JS, секрети браузеру не видавати|Endpoint у кешований REST замість admin-ajax"
27,3.4 HTML/DOM,,to do,2,wp-backend,Task,8:00,"HTML ~298 КБ, 1220 елементів, глибина 15, 31 inline style. ACCEPTANCE: HTML 298 -> не більше 150 КБ.",Прибрати server-side дубль партнерських логотипів: клонування DOM після load або CSS marquee|content-visibility: auto для великих секцій нижче фолда|Popup-розмітка: рендер перед відкриттям|Прибрати неактивну сезонну розмітку|Скоротити inline-стилі
28,3.5 Модульний JS теми,,to do,2,frontend,Task,16:00,"main.js теми — 666 мс у найдовших задачах. ACCEPTANCE: жодної задачі понад 200 мс, мінімум задач понад 50 мс.",Розбити монолітний main.js за сторінками і функціями|Усунути довгі задачі понад 50 мс розбиттям на частини
29,3.6 Server-side tagging,,to do,2,analytics,Task,24:00,"Компроміс: додаткова інфраструктура й підтримка проти розвантаження клієнта і стійкішої атрибуції. ACCEPTANCE: кількість конверсій збігається з базою Етапу 0, без дублів. ЗАЛЕЖИТЬ ВІД: 1.6, 1.7.",Перенести частину conversion tracking у server-side GTM/CAPI|Зберегти дедуплікацію через event_id|Звірити кількість конверсій з базою Етапу 0
30,"3.7 Зображення, другий прохід",,to do,3,frontend,Task,8:00,ACCEPTANCE: виконання бюджетів розд. 7 PDF (hero mobile до 80 КБ після AVIF-конвеєра). ЗАЛЕЖИТЬ ВІД: 1.3.,"programs-*.png (~2,9 МБ), партнерські та child-story картки|Фони нижче фолда через IntersectionObserver|AVIF-конвеєр або автогенерація розмірів"
31,3.8 Code splitting Fundraise Up,,to do,3,frontend,Task,4:00,ACCEPTANCE: чек-аут повністю поза initial path. ЗАЛЕЖИТЬ ВІД: 1.8.,"Ледаче підвантаження інтеграції штатними засобами SDK, без модифікації vendor-бандлів"
32,[Етап 4] Контроль якості (постійний процес),33|34|35|36|37,to do,2,milestone,Milestone,,"Не milestone, а процес: після імпорту перевести задачі в recurring (per release / weekly / monthly). Критерії зеленої зони — розд. 7 PDF.",
33,4.1 Lighthouse CI на кожен реліз,,to do,2,qa,Task,,"RECURRING per release. 3 mobile-прогони, оцінка за медіаною, budget-асерти (конфіг розд. 6.5 PDF). ACCEPTANCE: реліз блокується при порушенні бюджету.",
34,4.2 RUM і польові дані,,to do,2,qa,Task,,"RECURRING weekly. p75 за країнами і пристроями, Search Console CWV (28-денне вікно), Google Ads Landing Pages report. ACCEPTANCE: p75 LCP/INP/CLS у зеленій зоні.",
35,4.3 Воронка пожертв,,to do,2,qa,Task,,"RECURRING weekly. donate_click -> form_visible -> payment_submit -> success/error, латентність чек-ауту. ACCEPTANCE: конверсія та error rate без регресій.",
36,4.4 Tag governance,,to do,3,analytics,Task,,"RECURRING monthly. Перегляд тегів: власник, тригер, вага, бюджет на third-party. ACCEPTANCE: немає неузгоджених додавань тегів.",
37,4.5 Інфра-моніторинг,,to do,3,devops,Task,,"RECURRING. Алерти: диск від 85%, аномальне зростання БД, статус підтримки гілки PHP. ACCEPTANCE: реакція до настання інциденту.",
